Title_english,Title_japanese,Anime_episodes,Anime_source,Ratings,Season,Type,Studio,score,scored_by,ranked,popularity,members,links,Genres,genre
Needless,ニードレス,24,Manga,R - 17+ (violence & profanity),Summer 2009,TV,Madhouse,7.26,53703 ,Ranked #2541,Popularity #1258,129909,https://myanimelist.net/anime/6030/Needless,Action;Sci-Fi;Comedy;Super Power;Ecchi;Seinen,Madhouse
-,劇場版 HUNTERxHUNTER THE LAST MISSION,1,Manga,R - 17+ (violence & profanity),-,Movie,Madhouse,7.25,69979 ,Ranked #2611,Popularity #1266,128993,https://myanimelist.net/anime/19951/Hunter_x_Hunter_Movie_2__The_Last_Mission,Action;Adventure;Super Power;Fantasy;Shounen,Madhouse
Den-noh Coil,電脳コイル,26,Original,G - All Ages,Spring 2007,TV,Madhouse,8.08,35914 ,Ranked #447,Popularity #1291,125982,https://myanimelist.net/anime/2164/Dennou_Coil,Adventure;Comedy;Drama;Mystery;Sci-Fi,Madhouse
Kaiba,カイバ,12,Original,R+ - Mild Nudity,Spring 2008,TV,Madhouse,8.16,35208 ,Ranked #358,Popularity #1314,121885,https://myanimelist.net/anime/3701/Kaiba,Adventure;Mystery;Romance;Sci-Fi,Madhouse
Strawberry Panic,ストロベリー・パニック,26,Other,PG-13 - Teens 13 or older,Spring 2006,TV,"Madhouse,             Imagin",7.29,48132 ,Ranked #2432,Popularity #1331,120339,https://myanimelist.net/anime/855/Strawberry_Panic,Drama;Romance;School;Shoujo Ai,Madhouse
Trigun - Badlands Rumble,トライガン,1,Manga,PG-13 - Teens 13 or older,-,Movie,Madhouse,7.96,63416 ,Ranked #600,Popularity #1358,117256,https://myanimelist.net/anime/4106/Trigun__Badlands_Rumble,Action;Adventure;Comedy;Drama;Sci-Fi;Shounen,Madhouse
Ace of Diamond: Second Season,ダイヤのA[エース]～Second Season～,51,Manga,PG-13 - Teens 13 or older,Spring 2015,TV,"Production I.G,             Madhouse",8.31,58425 ,Ranked #221,Popularity #1420,110074,https://myanimelist.net/anime/30230/Diamond_no_Ace__Second_Season,Comedy;Sports;School;Shounen,Madhouse
Ninja Scroll,獣兵衛忍風帖,1,Original,R+ - Mild Nudity,-,Movie,Madhouse,7.61,56961 ,Ranked #1259,Popularity #1429,109304,https://myanimelist.net/anime/617/Juubee_Ninpuuchou,Adventure;Historical;Horror;Supernatural;Romance;Samurai;Fantasy;Shounen,Madhouse
Fighting Spirit: Champion Road,はじめの一歩 -Champion Road-,1,Manga,PG-13 - Teens 13 or older,-,Special,Madhouse,8.28,63504 ,Ranked #245,Popularity #1473,104631,https://myanimelist.net/anime/264/Hajime_no_Ippo__Champion_Road,Comedy;Shounen;Sports,Madhouse
Boogiepop Phantom,ブギーポップは笑わない Boogiepop Phantom,12,Light novel,R+ - Mild Nudity,Winter 2000,TV,Madhouse,7.16,25707 ,Ranked #3015,Popularity #1516,101907,https://myanimelist.net/anime/369/Boogiepop_wa_Warawanai,Psychological;Supernatural;Dementia;Mystery;Drama;Horror,Madhouse
