Title_english,Title_japanese,Anime_episodes,Anime_source,Ratings,Season,Type,Studio,score,scored_by,ranked,popularity,members,links,genre
Natsume's Book of Friends Season 6,夏目友人帳 陸,11,Manga,PG-13 - Teens 13 or older,Spring 2017,TV,Shuka,8.64,51569 ,Ranked #58,Popularity #1126,147728,https://myanimelist.net/anime/34591/Natsume_Yuujinchou_Roku,Shoujo
Natsume's Book of Friends Season 5,夏目友人帳 伍,11,Manga,PG-13 - Teens 13 or older,Fall 2016,TV,Shuka,8.58,57670 ,Ranked #78,Popularity #1128,147275,https://myanimelist.net/anime/32983/Natsume_Yuujinchou_Go,Shoujo
From Up on Poppy Hill,コクリコ坂から,1,Manga,G - All Ages,-,Movie,Studio Ghibli,7.82,81289 ,Ranked #812,Popularity #1173,140988,https://myanimelist.net/anime/10029/Coquelicot-zaka_kara,Shoujo
The Seven Metamorphoses of Yamato Nadeshiko,ヤマトナデシコ七変化♥,25,Manga,PG-13 - Teens 13 or older,Fall 2006,TV,Nippon Animation,7.74,70806 ,Ranked #958,Popularity #1175,140836,https://myanimelist.net/anime/1562/Yamato_Nadeshiko_Shichihenge♥,Shoujo
Sabagebu! -Survival Game Club!-,さばげぶっ!,12,Manga,PG-13 - Teens 13 or older,Summer 2014,TV,Pierrot Plus,7.37,48270 ,Ranked #2070,Popularity #1219,134600,https://myanimelist.net/anime/20709/Sabage-bu,Shoujo
-,3D彼女 リアルガール第2シーズン,12,Manga,PG-13 - Teens 13 or older,Winter 2019,TV,Hoods Entertainment,7.67,66654 ,Ranked #1109,Popularity #1255,131948,https://myanimelist.net/anime/37956/3D_Kanojo__Real_Girl_2nd_Season,Shoujo
Sailor Moon R,美少女戦士セーラームーン R,43,Manga,PG-13 - Teens 13 or older,Spring 1993,TV,Toei Animation,7.69,71219 ,Ranked #1067,Popularity #1257,130182,https://myanimelist.net/anime/740/Bishoujo_Senshi_Sailor_Moon_R,Shoujo
-,神様はじめました～過去編～,4,Manga,PG-13 - Teens 13 or older,-,OVA,TMS Entertainment,8.37,60093 ,Ranked #172,Popularity #1274,128760,https://myanimelist.net/anime/30709/Kamisama_Hajimemashita__Kako-hen,Shoujo
Kamigami no Asobi,神々の悪戯,12,Visual novel,PG-13 - Teens 13 or older,Spring 2014,TV,Brain's Base,7.05,54565 ,Ranked #3506,Popularity #1297,125276,https://myanimelist.net/anime/21563/Kamigami_no_Asobi,Shoujo
Mew Mew Power,東京ミュウミュウ,52,Manga,PG-13 - Teens 13 or older,Spring 2002,TV,Studio Pierrot,7.00,57962 ,Ranked #3723,Popularity #1305,124026,https://myanimelist.net/anime/687/Tokyo_Mew_Mew,Shoujo
Pretty Guardian Sailor Moon Crystal,美少女戦士セーラームーン Crystal,26,Manga,PG-13 - Teens 13 or older,-,ONA,Toei Animation,7.04,47023 ,Ranked #3566,Popularity #1307,123112,https://myanimelist.net/anime/14751/Bishoujo_Senshi_Sailor_Moon_Crystal,Shoujo
Sailor Moon S,美少女戦士セーラームーン S,38,Manga,PG-13 - Teens 13 or older,Spring 1994,TV,Toei Animation,7.86,64371 ,Ranked #745,Popularity #1324,121346,https://myanimelist.net/anime/532/Bishoujo_Senshi_Sailor_Moon_S,Shoujo
Hal,ハル,1,Original,PG-13 - Teens 13 or older,-,Movie,Wit Studio,7.45,59483 ,Ranked #1763,Popularity #1332,120089,https://myanimelist.net/anime/16528/Hal,Shoujo
"Diabolik Lovers II: More,Blood","DIABOLIK LOVERS MORE,BLOOD",12,Visual novel,R - 17+ (violence & profanity),Fall 2015,TV,Zexcs,5.61,59749 ,Ranked #9788,Popularity #1363,117699,https://myanimelist.net/anime/29974/Diabolik_Lovers_MoreBlood,Shoujo
-,アオハライド OAD,2,Manga,PG-13 - Teens 13 or older,-,OVA,Production I.G,7.60,62563 ,Ranked #1293,Popularity #1373,116321,https://myanimelist.net/anime/24151/Ao_Haru_Ride_OVA,Shoujo
Laughing Under the Clouds,曇天に笑う,12,Manga,PG-13 - Teens 13 or older,Fall 2014,TV,Doga Kobo,7.51,39686 ,Ranked #1574,Popularity #1421,109684,https://myanimelist.net/anime/21743/Donten_ni_Warau,Shoujo
