Title_english,Title_japanese,Anime_episodes,Anime_source,Ratings,Season,Type,Studio,score,scored_by,ranked,popularity,members,links,genre
-,インタールード,3,Visual novel,R - 17+ (violence & profanity),-,OVA,Toei Animation,6.45,4450 ,Ranked #6291,Popularity #4756,12172,https://myanimelist.net/anime/1085/Interlude,Horror
-,サイレントメビウス,26,Manga,PG-13 - Teens 13 or older,Winter 1998,TV,Radix,6.80,3914 ,Ranked #4523,Popularity #4755,12166,https://myanimelist.net/anime/1517/Silent_Möbius,Horror
-,亜人 (佐藤 ZERO),1,Manga,R - 17+ (violence & profanity),-,OVA,Polygon Pictures,7.07,3929 ,Ranked #3382,Popularity #4785,12138,https://myanimelist.net/anime/36625/Ajin_2nd_Season_OVA,Horror
Getter Robo: Armageddon,真(チェンジ!!)ゲッターロボ 世界最後の日,13,Unknown,R - 17+ (violence & profanity),-,OVA,Brain's Base,7.70,4606 ,Ranked #1050,Popularity #4810,11946,https://myanimelist.net/anime/978/Change_Getter_Robo__Sekai_Saigo_no_Hi,Horror
-,怪物王女,3,Manga,R - 17+ (violence & profanity),-,OVA,Tatsunoko Production,7.07,4810 ,Ranked #3400,Popularity #4812,11908,https://myanimelist.net/anime/9159/Kaibutsu_Oujo_OVA,Horror
Ushio and Tora,うしおととら,10,Manga,PG-13 - Teens 13 or older,-,OVA,Pastel,7.15,3788 ,Ranked #3088,Popularity #4814,11913,https://myanimelist.net/anime/842/Ushio_to_Tora,Horror
Zenki,鬼神童子ZENKI,51,Manga,PG-13 - Teens 13 or older,Winter 1995,TV,Studio Deen,6.97,4279 ,Ranked #3822,Popularity #4860,11590,https://myanimelist.net/anime/1573/Kishin_Douji_Zenki,Horror
Calamity of the Zombie Girl,あるゾンビ少女の災難,1,Novel,R+ - Mild Nudity,-,ONA,"Gonzo,             Stingray",5.37,4843 ,Ranked #10449,Popularity #4894,11455,https://myanimelist.net/anime/37735/Aru_Zombie_Shoujo_no_Sainan_ONA,Horror
The Guyver: Bio-Booster Armor,強殖装甲ガイバー,6,Manga,PG-13 - Teens 13 or older,-,OVA,-,7.12,4930 ,Ranked #3214,Popularity #4910,11308,https://myanimelist.net/anime/6016/Kyoushoku_Soukou_Guyver_1989,Horror
-,南海奇皇ネオランガ,48,Original,PG-13 - Teens 13 or older,Spring 1998,TV,Studio Pierrot,6.52,2172 ,Ranked #5899,Popularity #4924,11230,https://myanimelist.net/anime/1163/Neo_Ranga,Horror
Ghost Stories: The Headless Horsemen!! Curse of Death,学校の怪談 首なしライダー!! 死の呪い,1,Original,PG-13 - Teens 13 or older,-,Special,Studio Pierrot,7.04,6347 ,Ranked #3574,Popularity #4939,11238,https://myanimelist.net/anime/30825/Gakkou_no_Kaidan__Kubinashi_Rider_Shi_no_Noroi,Horror
-,バイオ・ハンター,1,Manga,R+ - Mild Nudity,-,OVA,Madhouse,5.93,4871 ,Ranked #8752,Popularity #4949,11047,https://myanimelist.net/anime/1269/Bio_Hunter,Horror
-,ベルセルク 第1期ダイジェスト映像,1,Manga,R - 17+ (violence & profanity),-,Special,"Millepensee,             GEMBA",6.03,4667 ,Ranked #8351,Popularity #4965,10998,https://myanimelist.net/anime/35009/Berserk_Recap,Horror
Lychee Light Club,ライチ DE 光クラブ,8,Manga,PG-13 - Teens 13 or older,Fall 2012,TV,Kachidoki Studio,5.21,4637 ,Ranked #10801,Popularity #5006,10716,https://myanimelist.net/anime/15045/Litchi_DE_Hikari_Club,Horror
